code,keyword,commentaire,ensemblid,ligne_es,digest_neo5,digest_neo3
E1,Tcf7,EPD0023_2_A12,ENSMUSG00000000782,C2,,
E1,Tcf7,EPD0023_2_D12,ENSMUSG00000000782,C2,,
E3,C1qbp,,,JM8,,
E4,Prpsap2,EPD0021_1_F09,ENSMUSG00000020528,JM8,"Mfe I,PacI","DrdI,HindIII"
E2,Agxt2l2,EPD0021_1_F05,ENSMUSG00000020359,JM8,"Dra I",SexAI
E5,Sfrs4,EPD0039_1_C07,ENSMUSG00000028911,JM8N4,"PshAI ,XhoI","Avr II ,ScaI/PvuI"
E6,Xbp1,EPD0038_2_B10,ENSMUSG00000020484,JM8N4,"Afl II","Ssp I,NheI"
E7,Ube2b,EPD0038_4_D01,ENSMUSG00000020390,JM8N4,"BstEII, Apa I","SpeI, Avr II"
E8,Limk2,EPD0040_1_B07,ENSMUSG00000020451,JM8N4,"NsiI, Hind III",PsHAI
E9,Grhl3,EPD0039_3_C02,ENSMUSG00000037188,JM8N4,"Apa I, Spe I","Drd I, Nsi I"
E10,Fabp3,EPD0061_1_C10," ENSMUSG00000028773",JM8N4,"Ase I, Psi I, Afl II","EcoRI, Sca I"
E14,Jmjd5,EPD0065_5_A04,ENSMUSG00000030752,JM8F6,"Afl II","Avr II"
E12,Ngfr,EPD0059_4_D03,ENSMUSG00000000120,JM8N4,"Apa I",EcoRI
E11,Ndufs3,EPD0057_2_A08,ENSMUSG00000005510,JM8F6,"Ase I","Avr II"
E13,Clk1,EPD0065_2_E04,"ENSMUSG00000026034  ",JM8F6,"Apa I","Drd I/Pme I"
E15,Fancb,EPD0057_4_A02,ENSMUSG00000047757,JM8,"Eco NI, Pml I","Bgl I, Nde I"
E18,Ap2b1,EUCF0048b04,ENSMUSG00000035152,JM8,,
E19,Magi1,EUCJ0019b08,ENSMUSG00000045095,JM8,,
E16,Aldh3a,EPD0060_2_A02,ENSMUSG00000010025,JM8,,
E17,B9d1,EPD0060_2_H09,ENSMUSG00000001039,JM8,"PshAI/Mfe I","Avr II"
E20,"Fam63a (4930504E06Rik)",EPD0057_1_H01,ENSMUSG00000078645,JM8F6,,
E21,C1qbp,EPD0038_2_B07,ENSMUSG00000018446,JM8N4,"AseI,ApaI","sspI,ecoNI"
E22,Ehbp1,EPD0059_1_C01,ENSMUSG00000042302,JM8N4,"Eco NI","Blp I"
E23,2008/09/01,EPD0060_3_G04,ENSMUSG00000018398,JM8N4,"Apa I","Avr II"
E24,Ttll1,EPD0066_2_A08,ENSMUSG00000022442,JM8F6,"Apa I",
E25,Limk2,EPD0040_1_C08,ENSMUSG00000020451,JM8N4,,
E26,Crcp,EPD0066_1_B08,ENSMUSG00000025532,JM8F6,"Afl II","Afl III"
E27,Ift20,EPD0066_2_F05,ENSMUSG00000001105,JM8F6,"Afl II","Age I"
E28,Pex10,,,JM8N4,,
E29,Bclaf1,EUCJ0013h06,ENSMUSG00000037608,,"Ase I, Avr II, Mfe I, Sca I",
E30,Ttf1,EUCJ0006h04,ENSMUSG00000026803,,"ApaI, Ase I, Dra I, Nsi I","AvrII,AflII HindIII PmlI/BspHI"
E31,Hps5,EPD0087_4_E08,ENSMUSG00000014418,JM8F6,"Afl II, Mfe I","PsHAI, Blp I, PshAI/Sbf I"
E32,Orc4l,EPD0087_3_G06,ENSMUSG00000026761,JM8F6,"Pac I/Mfe I",AvaI
E33,Ctsd,EPD0105_1_G10,ENSMUSG00000007891,JM8F6,"Nsi I/Ase I",EcoRI
E34,Nfxl1,EPD0100_5_F06,ENSMUSG00000072889,JM8F6,"Mfe I, Xho I/Sfi I","Afl III, SexAI"
E35,Zfp398,EPD100_3_H05,ENSMUSG00000062519,JM8F6,,
E36,2410018C17Rik,EPD0100_2_A09,ENSMUSG00000037339,JM8F6,,
E37,Mrpl10,HEPD0501_1_F05,ENSMUSG00000001445,JM8N4,"BspH I, BstE II","Drd I"
E38,Aldh3a2,EPD0060_2_D02,ENSMUSG00000010025,JM8N4,"Mfe I","Afl II"
E39,Nubp1,EPD0089_1_A03,ENSMUSG00000022503,JM8F6,,
E40,"Nola1 (Gar1)",EPD0117_3_G11,ENSMUSG00000028010,JM8N4,"Afl II",
E41,Tmem68,EPD0117_1_C02,ENSMUSG00000028232,JM8N4,"Hind III","Afl II"
E42,Pik3c3,EPD0103_4_D07,ENSMUSG00000033628,JM8F6,"Apa I, Spe I","Bgl I"
E43,Ruvbl1,EPD0089_2_G11,ENSMUSG00000030079,JM8F6,"Ase I, Nsi I","AvaI, Ssp I"
E44,Ica1,EPD140_3_D09,ENSMUSG00000003269,JM8N4,,
E45,Nsun5,EPD0113_3_E05,ENSMUSG00000000916,JM8N4,,
E46,B4galnt3,EPD0140_5_G02,ENSMUSG00000041372,JM8N4,"Afl II, Spe I","Nde I, Xmn I"
E47,"Pgd ",EPD0117_4_C03,ENSMUSG00000028961,JM8N4,"Afl II, Hind III","Drd I, Pml I"
E48,Whsc2,HEPD0073_3_A02,ENSMUSG00000029111,JM8F6,"Ase I, Hind III","Bgl I, Eco NI"
E49,Chmp4c,EPD0113_1_D08,ENSMUSG00000027536,JM8N4,,
E50,Btf3l4,HEPD0074_4_A03,ENSMUSG00000028568,JM8F6,"Afl II, BspH I","Eco NI, Spe I"
E51,Alpl,EPD0146_3_D07,ENSMUSG00000028766,JM8N4,"Ase I, Nsi I","Ssp I"
E52,Dusp9,EPD0065_2_C08,ENSMUSG00000031383,JM8F6,"Eco NI, Hind III","ApaL I, Ssp I"
E53,Crtc1,EPD0142_4_B09,ENSMUSG00000003575,JM8F6,"BspH I","Hind III, Ssp I"
E54,Ezh1,EPD0188_1_D09,ENSMUSG00000006920,JM8N4,"PshAI, Sca I","Afl III, Eco NI"
E55,Flot2,EPD0113_4_B07,ENSMUSG00000061981,JM8N4,"Ase I, Mfe I","Drd I, Nsi I"
E56,Fpgs,HEPD0507_7_C03,ENSMUSG00000009566,JM8N4,"BstE II, Nsi I","Xmn I"
E57,Eif2b5,EPD0116_1_C09,ENSMUSG00000003235,JM8N4,"Ase I, Sca I","Nde I, Spe I"
E58,Elf4,EPD0193_2_D08,ENSMUSG00000031103,JM8N4,"Afl II, Sca I","EcoRI, Ssp I"
E59,Clpb,EPD0184_3_A09,ENSMUSG00000001829,JM8N4,"Ase I, Spe I","Afl III, Eco NI"
E60,Bspry,EPD0113_4_D09,ENSMUSG00000028392,JM8N4,"PshAI, Xho I","Hind III"
E61,Chrna1,HEPD0507_1_B05,ENSMUSG00000027107,JM8N4,"Afl II, Ase I","Eco NI, Nsi I"
E62,Arl13b,EPD0065_5_C03,ENSMUSG00000022911,JM8F6,"Afl II, Sca I","ApaL I, Xmn I"
E63,Slc4a2,EPD0193_1_E09,ENSMUSG00000028962,JM8N4,,
E64,Suz12,EPD0103_2_B08,ENSMUSG00000017548,JM8F6,"Hind III, Mfe I","ApaL I, AvaI"
E65,Bid,EPD0193_4_A05,ENSMUSG00000004446,JM8N4,"Nsi I, Sca I","Afl II, Hind III"
E66,"Ift122 ",EPD0155_2_E05,ENSMUSG00000030323,JM8N4,"BplI, Sbf I/Afl II","Sca I, Xma I"
E67,Tnfrsf1b,EPD0155_1_B07,ENSMUSG00000028599,JM8N4,"Ase I, Spe I","ApaL I, Drd I"
E69,Rps3,EPD0100_3_G04,ENSMUSG00000030744,JM8F6,"Afl II, Mfe I","Bgl II, Ssp I"
E70,Timm50,EPD144_2_D04,ENSMUSG00000003438,JM8N4,"Spe I, Sbf I/Pac I","Avr II, Sca I"
E71,Ncs1,HEPD0522_2_G08,ENSMUSG00000062661,JM8N4,"Sca I","EcoRI, Ssp I"
E72,Ddx52,EPD0102_1_B10,ENSMUSG00000020677,JM8F6,"Eco NI, Ase I","SexAI, BspH I"
E73,Drg2,EPD0215_4_A11,ENSMUSG00000020537,JM8N4,"Ase I, PshAI","Afl II, AvaI"
E74,1700052N19Rik,EPD0175_3_D06,ENSMUSG00000061759,JM8N4,"PshAI, Apa BI","AvaI, Drd I"
E75,Gpr133,EPD0146_5_A01,ENSMUSG00000044017,JM8N4,"Spe I, Bpl I","Afl II, Avr II, Afl III, Drd I"
E76,Ephx1,HEPD0518_6_B02,ENSMUSG00000038776,JM8N4,"PshAI, Afl II","Apa I, Bgl II"
E77,Zcwpw1,EPD0221_2_E06,ENSMUSG00000037108,JM8N4,"Afl II, Ase I","Nhe I"
E78,Zfp672,EPD0220_1_B11,ENSMUSG00000078852,JM8N4,"Spe I/SgrA I, SgrA I/BstE II","Sac II/PshAI, Sac II/SgrA I"
E79,H6pd,EPD0173_1_C12,ENSMUSG00000028980,JM8N4,"Ase I, BspH I","Bgl II, Drd I"
E80,Ypel2,EPD0204_2_H02,ENSMUSG00000018427,JM8F6,"Sca I","Apa I, Afl III"
E81,Tyro3,HEPD0507_5_B04,ENSMUSG00000027298,JM8N4,"Sca I, BspH I","EcoRI, Hind III"
E82,Vat1,EPD0113_3_A07,ENSMUSG00000034993,JM8N4,"Afl II/Xho I, Hind III/Xho I","Drd I, Eco NI"
E83,"Itgb5 ",EPD0114_3_B05,ENSMUSG00000022817,JM8F6,"Spe I, BstE II","Eco NI, Ssp I"
E84,Mapre3,EPD0144_4_G05,ENSMUSG00000029166,JM8N4,"Nsi I, BspH I","ApaL I, Avr II"
E85,Mpp1,EPD0173_1_A06,ENSMUSG00000031402,JM8N4,"Swa I, Nsi I","Stu I, Blp I"
E86,Ipo4,EPD0146_5_A11,ENSMUSG00000002319,JM8N4,"PshAI, Nsi I","Pme I/Sbf I, BspH I"
E87,Mib2,EPD0173_1_F02,ENSMUSG00000029060,JM8N4,"Ase I","EcoRI, Nhe I"
E88,Cog8,EPD0220_4_B09,ENSMUSG00000031916,JM8N4,"Sca I, Age I/Sbf I","Xho I, Nhe I"
E89,2810432D09Rik,EPD0146_3_B05,ENSMUSG00000036114,JM8N4,"PshAI, PshAI, Sca I","Eco NI, Apa I, Blp I, Eco NI, Ssp I"
E90,Kctd15,EPD0177_1_B09,ENSMUSG00000030499,JM8N4,"Ase I, BspH I/Pac I","EcoRI, Drd I"
E91,2310067B10Rik,EPD0215_1_D09,"ENSMUSG00000020747  ",JM8N4,"BplI, Afl II/BspH I","Drd I, EcoRI"
E92,1700021C14Rik,HEPD0504_2_A05,ENSMUSG00000010538,JM8N4,"Mfe I, Pml I","Nde I, Stu I"
E93,2310016M24Rik,EPD0240_2_B03,ENSMUSG00000023020,JM8N4,"Afl II, BstE II","Eco NI, Apa I"
E94,4930525F21Rik,EPD0202_3_F02,ENSMUSG00000027209,JM8N4,"BplI, Afl II","Bgl I, Hind III"
E95,Rps5,EPD0225_3_A09,ENSMUSG00000012848,JM8N4,"Nsi I, Spe I","Afl III, Avr II"
E96,Sox13,EPD0226_6_B08,ENSMUSG00000070643,JM8N4,"Ase I, BspH I","Drd I, Hind III"
E97,Fkbp10,EPD0142_1_A09,ENSMUSG00000001555,JM8N4,"NruI, BstE II","Xho I, Xmn I"
E97a,Fkbp10,EPD0142_1_A09,ENSMUSG00000001555,JM8N4,,
E97,Fkbp10,EPD0142_1_A09,ENSMUSG00000001555,JM8N4,"NruI, BstE II","Xho I, Xmn I"
E98,Mrpl54,EPD0176_5_A09,ENSMUSG00000034932,JM8N4,"PshAI, Sbf I","Sac II, Ssp I"
E99,Mrps35,EPD0089_3_A10,ENSMUSG00000040112,JM8F6,"Ase I, Nsi I","Bgl I, Drd I"
E100,Lhx1,EPD0243_4_E03,ENSMUSG00000018698,JM8N4,"BspH I, PshAI","Drd I, Eco NI"
E101,E330016A19Rik,HEPD0516_3_C04,ENSMUSG00000032344,JM8N4,"Bpl I,, BspH I","Apa I, Bgl I"
E102,Aifm1,HEPD0504_2_E08,ENSMUSG00000036932,JM8N4,"Afl II, Eco NI","SexAI, Pac I/Pme I"
E103,Dpy19l3,EPD0227_3_B02,ENSMUSG00000043671,JM8N4,"BspH I, Spe I","Apa I, EcoRI"
E104,Lrp4,HEPD0510_6_A04,ENSMUSG00000027253,JM8N4,"BplI, Nsi I/Sca I","Bgl II, AvaI, SexAI"
E105,Ino80,HEPD509_6_F10,ENSMUSG00000034154,JM8N4,"Afl II","Eco NI,DrdI, Nhe I"
E106,Cops4,HEPD0509_6_A04,ENSMUSG00000035297,JM8N4,"Nsi I","AvaI, Xho I, Spe I"
E107,Mmgt1,EPD0198_1_C11,ENSMUSG00000061273,JM8N4,PshAI,"Avr II, Hind III"
E108,Cacnb4,HEPD0507_8_G08,ENSMUSG00000017412,JM8N4,"Afl II, Nsi I","Spe I, Stu I"
E109,Col5a1,HEPD0509_7_C01,ENSMUSG00000026837,JM8N4,"Afl II, BstE II","Xmn I"
E111,Fabp12,EPD0146_4_H09,ENSMUSG00000027530,JM8N4,"PshAI/Swa I, Ase I","Apa I, EcoRI"
E112,4933430I17Rik,EPD0168_7_A02,ENSMUSG00000058046,JM8N4,"SbfI/speI,, BstE II","ApaL I, Eco NI"
E113,9630058J23Rik,EPD0192_4_A04,ENSMUSG00000038949,JM8N4,"Afl II, PshAI/Sbf I","Apa I, Xmn I"
E114,Xiap,HEPD0523_5_A03,ENSMUSG00000025860,JM8N4,"Spe I, Pac I/PshAI","Afl III, Avr II"
E115,2900026A02Rik,HEPD0525_3_B05,ENSMUSG00000051339,JM8N4,"Ase I/Nsi I, PshAI","EcoRI, Pme I/Pac I"
E116,C1rl,,,JM8N4,"Ase I, Swa I","Apa I, Bgl I"
E110,D830044D21Rik,,,JM8N4,"Afl II, Nsi I","Drd I"
E117,Arcn1,HEPD0516_2_B11,"ENSMUSG00000032096 ",JM8N4,"Pac I","ApaL I, Drd I"
E118,Zfp13,HEPD0528_4_A08,ENSMUSG00000062012,JM8N4,"BsphI, BspH I","AflII,SpeI, Afl II, Spe I"
E119,Brd9,,,JM8N4,"Afl II, Sbf I, BstE II, Apa BI","Avr II, Spe I"
E120,Alms1,,,JM8N4,"BstE II",
E121,Btk,HEPD0522_1_A11,ENSMUSG00000031264,JM8N4,"Spe I, Pac I/Sbf I","Drd I, EcoRI"
E122,Mtrf1,HEPD0530_4_B02,"ENSMUSG00000022022 ",JM8N4,"Sca I",SwaI
E123,Lrrc57,,,JM8N4,"Nsi I, Sca I","Bgl I, Stu I"
E124,Mcm8,,,JM8N4,"PshAI, Sca I","Nhe I, Drd I"
E125,Rnase10,HEPD0528_6_A02,ENSMUSG00000021872,JM8N4,"BspH I, Swa I","Spe I, Nde I"
E126,Stk30,HEPD0530_7_A11,"ENSMUSG00000056458 ",JM8,PshAI,"EcoRI, SexAI"
E127,Vat1l,,,JM8N4,"Apa BI, PshAI, Spe I","ApaL I, Xho I"
E128,"A430107O13Rik ",,,JM8N4,nd,"PmeI,SacII/SbfI, Bgl I"
E129,Trib3,,,JM8N4,PshAI,"Avr II, Bgl II, Xho I"
E130,Sfrp4,,,JM8N4,"Nsi I, Sca I","Afl II, Spe I"
E131,"Pten ",EPD0103_3_A02,ENSMUSG00000013663,JM8,"Eco NI, Sca I","Bgl I, Nhe I"
E132,Mmp14,HEPD0526_6_E09,ENSMUSG00000000957,JM8N4,"BspH I, Sca I","Bgl II, Xho I"
E133,Bag1,HEPD0505_2_B06,ENSMUSG00000028416,JM8N4,"Eco NI, Nsi I","Afl III, Avr II"
E133,Bag1,HEPD0505_2_G06,ENSMUSG00000028416,JM8N4,"Eco NI, Nsi I","Afl III, Avr II"
E134,Invs,EPD0201_4_D03,ENSMUSG00000028344,JM8N4,"Afl II, BstE II","Avr II, Hind III"
E135,Mtmr14,EPD0211_4_B08,,JM8N4,"PshAI, Sca I","Apa I, Avr II"
E135,Mtmr14,EPD0211_4_A07,,JM8N4,"PshAI, Sca I","Apa I, Avr II"
E136,Acap3,HEPD0508_4_G09,ENSMUSG00000029033,JM8N4,"BspH I","Bgl II, Nhe I"
E137,Incenp,HEPD0534_5_C05,ENSMUSG00000024660,JM8A_N3,"BspH I, Sca I","Avr II, Pml I"
E138,"Hpd ",HEPD0539_3_E07,ENSMUSG00000029445,JM8A_N3,"Ase I, BspH I","Avr II, EcoRI"
E139,Zranb1,HEPD0538_8_D07,ENSMUSG00000030967,JM8A_N3,"BstE II","Bgl II, Stu I"
E140,Gsta3,HEPD0539_2_G05,ENSMUSG00000025934,JM8A_N3,"Nsi I, Pac I/PshAI","Avr II, Bgl I"
E141,cd9,HEPD0538_5_H11,ENSMUSG00000030342,JM8A_N3,"BspH I, Nsi I","Afl II, Bgl I"
E142,Sdsl,HEPD0538_2_A01,ENSMUSG00000029596,JM8A_N3,"Ase I, Sca I/Ase I","PshAI, Ssp I"
E143,Fam126b,HEPD0538_3_B06,ENSMUSG00000038174,JM8A_N3,"Afl II","Apa I, SexAI"
E144,Sorcs2,EPD0278_6_H03,ENSMUSG00000029093,JM8A_N3,"BspH I, Sca I","Hind III, PshAI"
E145,Yipf5,HEPD0534_4_D04,ENSMUSG00000024487,JM8A_N3,"BspH I, Nsi I","Apa I, Spe I"
E146,Fcho1,HEPD0534_8_B03,ENSMUSG00000070000,JM8A_N3,"BstE II, Pme I/Sac II","ApaL I, Spe I"
E147,Ywhag,HEPD0534_7_G07,ENSMUSG00000051391,JM8A_N3,"Swa I/Xho I","Apa I, SexAI"
